_id,id,asset_id,location,alternative_name,type,location_details,url,address,PostedDate,AssetName,Reason,Comments,Status,geometry,,,,,,,,,,Type of Fountains,,,
32,530,102203,Rosedale Ravine Lands,Rosedale Ravine Lands Drinking Fountain,Drinking Fountain,Located in the park at the northwest corner of Park Road and Rosedale Valley Road.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=530,450 Bloor St  E ,2026-05-28T13:02:01,Rosedale Ravine Lands Drinking Fountain,Under Construction,DF Replacement Ongoing,0,"{""coordinates"": [[-79.38404808, 43.673721799999996]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
33,177,2735,Moss Park,Moss Park Drinking Water Station,"Drinking Fountain, Dog Fountain",Located between the tennis courts and the baseball diamond.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=177,150 Sherbourne St  ,2026-05-28T13:00:14,Moss Park Drinking Water Station,None,None,1,"{""coordinates"": [[-79.37189907, 43.65521135]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
34,145,78265,Monarch Park,Monarch Park Wading Pool Drinking Fountain,Drinking Fountain,Located on the pool deck west of the wading pool.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=145,115 Felstead Ave  ,2026-05-28T12:58:55,Monarch Park Wading Pool Drinking Fountain,None,None,1,"{""coordinates"": [[-79.32620204, 43.67772284]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
35,145,102085,Monarch Park,Monarch Park Outdoor Rink Bottle Filling Station,Bottle Filling Station,Located outside the outdoor pool/rink building close to the outdoor ice rink.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=145,115 Felstead Ave  ,2026-05-28T12:58:48,Monarch Park Outdoor Rink Bottle Filling Station,None,None,1,"{""coordinates"": [[-79.32539894, 43.67732088]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
36,145,102222,Monarch Park,Monarch Park Outdoor Pool West Drinking Fountain,Drinking Fountain,Located on the southwest side of the outdoor pool deck along the outdoor pool building.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=145,115 Felstead Ave  ,2026-05-28T12:58:35,Monarch Park Outdoor Pool West Drinking Fountain,None,None,1,"{""coordinates"": [[-79.32592776, 43.67739661]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
37,145,102223,Monarch Park,Monarch Park Outdoor Pool East Drinking Fountain,Drinking Fountain,Located on the southeast side of the outdoor pool deck along the outdoor pool building.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=145,115 Felstead Ave  ,2026-05-28T12:58:26,Monarch Park Outdoor Pool East Drinking Fountain,None,None,1,"{""coordinates"": [[-79.32548892, 43.67749347]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
38,145,77834,Monarch Park,Monarch Park Felstead Avenue Bottle Filling Station,Bottle Filling Station,Located along the sidewalk at the north end of the park along Felstead Avenue.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=145,115 Felstead Ave  ,2026-05-28T12:58:19,Monarch Park Felstead Avenue Bottle Filling Station,None,None,1,"{""coordinates"": [[-79.32647416, 43.678838510000006]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
39,145,102224,Monarch Park,Monarch Park Dog Off-Leash Area Drinking Water Station,"Drinking Fountain, Dog Fountain",Located west of the dog off-leash area next to the outdoor pool/rink building.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=145,115 Felstead Ave  ,2026-05-28T12:58:11,Monarch Park Dog Off-Leash Area Drinking Water Station,None,None,1,"{""coordinates"": [[-79.32529702, 43.677387030000006]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
40,62,2129,McGill Parkette,McGill Parkette Drinking Fountain,Drinking Fountain,"Located at the entrance to the parkette, along the sidewalk.",https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=62,9 Mcgill St  ,2026-05-28T12:56:30,McGill Parkette Drinking Fountain,Maintenance/Repairs,Curb Stop Repairs,0,"{""coordinates"": [[-79.38169865, 43.65998152]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
41,1950,2291,Graham Park,Graham Park Drinking Fountain,Drinking Fountain,Located next to the pathway west of the playground.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1950,11 Atlas Ave  ,2026-05-28T12:54:49,Graham Park Drinking Fountain,Maintenance/Repairs,DF repairs ongoing,0,"{""coordinates"": [[-79.43032170000001, 43.681457159999994]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
42,50,1002267,Gerrard - Carlaw Traffic Island,Gerrard - Carlaw Traffic Island Drinking Water Station,"Drinking Fountain, Dog Fountain","Located at the corner of Gerrard Street East and Carlaw Avenue, next to the off-leash area near Boston Ave..",https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=50,855 Gerrard St  E ,2026-05-28T12:53:48,Gerrard - Carlaw Parkette Drinking Water Station,Under Construction,None,0,"{""coordinates"": [[-79.34176913, 43.66761817]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
43,127,102035,Fairmount Park,Fairmount Park Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located on the pathway south of the wading pool.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=127,1725 Gerrard St  E ,2026-05-28T12:53:03,Fairmount Park Drinking Water Station,Maintenance/Repairs,Major supply line repairs,0,"{""coordinates"": [[-79.31580255, 43.67522619]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
